"","Habt.G","Habt.J","Habt.P","Shal.GJ","Shal.JP","Shal.GP","Deep.GJ","Deep.JP","Deep.GP","West.GW","West.JW","West.PW"
"619",-0.0434782608695651,0.068999669858039,NA,1.00613961606655e-16,NA,-0.0252681975352424,-0.0183679924674311,0.0810604129492735,0.00669537092354926,0.409090909090909,0.294959579449574,0.513314020397635
"620",-0.0909090909090909,0.0947302126261312,NA,-2.77555756156289e-17,NA,-0.0511945392491468,-0.0656096176571849,0.112916807005726,0.0133475707421249,0.702922077922078,0.608625106085503,0.835056009524325
"621",NA,0.0095806893119324,NA,NA,NA,NA,0.0095806893119324,0.0177651905252318,NA,0.0454545454545454,-0.037395525600867,0.0549784438513652
"622",NA,0.0169163847269212,NA,NA,NA,NA,0.0169163847269212,0.0262105546692083,NA,0.0454545454545454,-0.0433871671759057,0.0549784438513652
"623",NA,1.11022302462516e-16,-0.0110020311442113,NA,NA,NA,0.00414041404140425,-0.0388986153111571,-0.00782975306163428,-0.00645161290322579,-0.0661886115588339,-0.0438446637724966
"624",0.000465803099833039,0.263994292628139,0.035621140966045,-0.0701923076923077,-0.0852660032907624,-0.0753730466455176,0.0774862721171446,0.0686931319877482,-0.0576047681311896,0.147671275695951,0.458655008774182,0.159275601361578
"625",-0.0099889012208657,0.0389256311500294,NA,-0.0549806315175008,0.0389256311500294,-0.0157194679564692,NA,NA,NA,NA,NA,NA
"626",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0694503621644653,0.0614525139664804,0.0970597533986721
"627",NA,NA,0.0152400114112402,NA,0.00669537092354926,0.00970390644438924,NA,NA,NA,0.0503437261301298,0.0454545454545454,0.0677721379556719
"628",0.0067390490453014,0.0681671134115907,-0.0294915009440628,-0.00552486187845308,0.00347801892042303,-0.0602937212988005,-0.0432271414243363,-0.0700145466145764,-0.0354638116954496,0.0744162392937366,-0.00257893766439266,-0.0148810316123062
