"LD1","LD2","LD3","LD4","LD5","LD6"
"AFMJD6859H",-2.2888773109665,-3.52473521301611,0.831213527273155,2.37517435283927,-0.264298894324382,1.64532348747498
"AFMJD6861H",-0.94741404932693,-1.41858469832596,-1.70333993696061,0.103235054980773,0.576314633486235,-0.385836256379627
"AFMJD6864H",-0.24089449115062,-1.63681090863853,-0.288727418400164,0.0158936273725256,-0.372743734988341,-0.223406796129585
"AFMJD6873H",-3.10046218658614,-1.67367340634066,-0.160815377245746,0.588162794241091,-0.911201622435311,-0.413814473923974
"AFMJD6875H",-1.81077718972901,-1.31334798334447,1.25511667311265,0.496201440403965,-0.467136764541571,-0.343279231356896
"AFMJD6876H",-1.38480296676727,-2.52403034290651,-0.747751660829993,-0.466816454006412,0.679512028602425,-0.0917855201372096
"AFMJD6877H",-1.34266321140555,-1.91998154347218,-1.40816248142929,0.831665993400916,0.270399072036803,0.0509443486303499
"AFMJD6878H",-3.79056066595252,-1.50844674412542,-2.10935675819873,0.198400230876535,0.197368179409134,0.877958418942941
"AFMJS6675H",3.13317017411936,0.941654276422358,0.992874121672642,2.20547572990959,0.682149847915499,-0.589276103389666
"AFMJS6676H",2.52746902029538,1.30948078752281,-0.680402306064352,0.420508357235769,-0.0665859572670706,0.0604908458731814
"AFMJS6678H",2.11871696466043,1.62182193479979,-0.448856199222927,-1.90819653420361,0.317112932727244,-0.986834969142489
"AFMJS6680H",1.46111312777878,0.478128257323098,-0.520555236306053,0.516527393536032,0.344660055917716,-1.31125941168347
"AFMJS6681H",2.6131004657711,0.828868022506059,-0.297448420878245,0.145618643072636,-0.0701769785732519,-0.53632461535429
"AFMJS6682H",1.39488215392316,-0.237349022019559,-0.558077317407794,-0.919578759202806,-0.123325739984409,-0.13623877371113
"AFMJS6683H",2.90127189760268,1.92253742215681,-1.06646519776972,2.24551074453601,0.111099626000832,0.826775588586482
"AFMJS6687H",2.09861005757919,1.76613831003229,-0.209310953958956,-0.607862549236976,-0.0302208557559752,-1.36324796505696
"AFMJS6694H",1.24705960996181,0.611400610624931,-0.708901427689297,-0.958889356128474,0.324989382039389,0.558546077605464
"AFMJS6695H",2.32004491144404,0.670931822216404,0.451898232696634,0.272974988581611,-0.763591857496705,-0.432637381675937
"AFMJS6696H",2.40294416925899,0.370786388559053,-0.00489609185234786,-0.0810783176084106,-0.258955842239577,-0.909334889901379
"AFMJS6698H",2.49594967216686,-0.0950987519965618,0.917718085745457,-0.41117157560142,0.224566818026154,-0.0537191220800734
"AFMJS6700H",1.59706187025041,2.43844785828278,-0.275028863623575,-0.141200381630662,0.374723121156526,0.347376566741424
"AFMJS6702H",1.78884588914965,0.800397484439745,1.40160072468023,-0.544637767314902,0.138571083846759,-1.28482011565207
"AFMPD6983H",-0.0332125002679707,1.37800437548538,-0.693101399695509,-0.578488934240242,0.118072934511877,-0.883097625726736
"AFMPD6985H",0.0181342699974492,-2.68526894801204,0.219591190886895,2.38134136792078,-0.281648710936855,-0.265935501268905
