"GD","GS","JD","JS","PD","PS","WD"
"AFMGS6752H",4.16577462249416e-08,0.700111979683517,1.67175888907839e-10,0.228173018846194,4.55044109468699e-08,0.071714914140955,1.14588012720199e-16
"AFMGS6755H",0.0128684912191075,0.270123370126676,0.000181838224853443,0.459702010364762,0.0532043465251572,0.203919902689605,4.08498395704765e-08
"AFMGS6756H",0.00154610598059859,0.379399574065892,9.5476701610698e-07,0.495938367756486,0.00225885214968049,0.120856145279963,3.64310670429996e-13
"AFMJD6855H",0.00188358594199446,8.61638226877732e-08,0.994268626875871,3.12975330237577e-08,0.0038476651770046,1.08559776667156e-10,4.43521487701206e-09
"AFMJD6856H",5.96752767096114e-05,1.07929769495046e-11,0.999869323376563,1.28202754031184e-12,7.10005053022983e-05,6.17433729537096e-15,8.29343721404947e-10
"AFMJD6857H",0.189118626690795,3.97873498271045e-07,0.608872490946206,4.33475635146165e-06,0.202003606874556,5.42832360453476e-07,2.62327705125768e-11
"AFMJD6858H",0.141848290982839,0.0008569313685292,0.0855711647438272,0.00330492003658868,0.768201499415484,0.000210856946559,6.33650617314436e-06
"AFMJD6859H",0.126019266244687,5.21820428891776e-10,0.790487939394131,3.80505449109328e-09,0.0834927799943944,8.05540465178598e-09,1.98450840043512e-09
"AFMJD6861H",0.100805715133185,0.000281480739635068,0.706689731806444,0.000311773573400127,0.191903490016183,7.50042910064669e-06,3.08302051982995e-07
"AFMJD6864H",0.288201109838424,0.000533490727498235,0.100937946052617,0.00129573171538932,0.608828923812207,0.000202783993432953,1.3860431915659e-08
"AFMJD6873H",0.0185879986596094,1.2804750276902e-08,0.815171859697878,9.17958352477552e-08,0.166158078385345,5.6500592722989e-09,8.19530065232763e-05
"AFMJD6875H",0.191417354057098,1.3425348074688e-06,0.0903295610660045,2.14043865014817e-05,0.718209977378997,7.9605235243063e-06,1.24000530678256e-05
"AFMJD6876H",0.270984532074013,1.94260896207408e-06,0.516576487961231,3.79228377071377e-06,0.212433051886144,1.80630360946341e-07,1.25555179562153e-08
"AFMJD6877H",0.0558565814247286,8.4255974685323e-06,0.84576607683098,1.25332414877214e-05,0.0983556114029802,6.8926590619626e-07,8.22364493170324e-08
"AFMJD6878H",0.000832219859082226,2.03886454439999e-09,0.993554862975873,1.49383309187294e-09,0.00543861914912989,1.60972126438098e-11,0.000174294467119977
"AFMJS6675H",7.28798195284969e-06,0.0259782872228117,5.19166253210544e-09,0.204697808466862,8.30459524632967e-06,0.769308306541387,7.78079045626202e-14
