SIMWD6948H,GS,0.0040,0.0030,0.9790,0.0020,0.0060,0.0020,0.0020,0.0020
SIMWD6954H,PS,0.6026,0.0220,0.0060,0.0030,0.0020,0.0020,0.0030,0.3594
SIMWD6955H,WD,0.0050,0.0030,0.0120,0.0040,0.0080,0.9379,0.0240,0.0060
SIMWD6956H,GD,0.0070,0.0540,0.0030,0.0200,0.0060,0.0160,0.8840,0.0100
SIMWD6957H,JS,0.0180,0.0080,0.0130,0.0020,0.0741,0.0040,0.1051,0.7758
SIMWD6958H,JD,0.0320,0.8691,0.0220,0.0020,0.0060,0.0250,0.0390,0.0050
SIMWD6959H,PD,0.0240,0.0020,0.0020,0.0080,0.9520,0.0020,0.0010,0.0090
SIMWD6962H,GS,0.0310,0.0060,0.7337,0.0040,0.0140,0.0190,0.1842,0.0080
SIMWD6967H,PS,0.9560,0.0070,0.0040,0.0030,0.0040,0.0160,0.0040,0.0060
SIMWD6968H,WD,0.0030,0.0170,0.0250,0.0040,0.0280,0.9141,0.0040,0.0050
SIMWD6969H,GD,0.0040,0.0040,0.0110,0.0030,0.0060,0.0250,0.9210,0.0260
SIMWD6972H,JS,0.0910,0.0120,0.0060,0.0030,0.0110,0.0150,0.0040,0.8580
